ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,comment
466002,0,0,0,1,1,0,0,
466005,0,0,0,0,0,0,0,
466009,1,0,1,0,0,0,0,
466011,0,1,1,0,0,0,0,
466017,0,1,0,0,0,0,0,
466021,0,1,1,0,0,0,0,
466024,0,0,0,1,0,0,1,No clear target
466025,0,0,0,0,1,0,0,
466026,0,1,0,0,0,0,0,
466027,0,1,0,0,1,0,0,
466028,0,0,0,0,0,0,1, Image artifact and no clear target
466034,0,1,0,0,0,0,0,
466042,1,0,0,0,1,0,0,
466043,0,0,0,1,1,0,0,
466047,0,0,1,0,1,0,0,
466049,0,0,0,0,0,0,1, Many possible targets
466050,1,0,0,1,0,0,0,
466056,0,1,1,0,0,0,0,
466058,0,0,1,0,1,0,0,
466059,0,1,0,1,1,0,0,
466060,0,1,0,1,1,0,1, Image artifact
466063,0,0,0,0,0,0,1, No objects in image
466065,0,1,1,0,0,0,0,
466067,0,1,1,0,0,0,0,
466068,0,0,0,1,0,0,1, No clear target
466069,0,1,1,0,1,0,0,
466070,0,1,0,0,1,0,0,
466075,0,0,1,0,1,0,0,
466076,1,0,1,0,1,0,0,
466077,0,0,1,0,0,0,0,
466078,0,1,1,0,1,0,0,
466082,0,1,0,0,1,0,0,
466084,0,1,0,0,0,0,0,
466086,0,1,1,0,0,0,0,
466088,0,0,0,0,1,1,0,Possible merger
466090,0,1,0,0,1,0,1,Unclear target
466092,0,0,0,0,0,0,1, No object in image
466095,0,1,1,0,0,0,0,
466096,0,0,1,0,1,0,0,
466097,0,0,1,0,0,1,0,Unusually high emission
466105,0,0,1,0,1,0,0,
466108,0,0,0,0,0,0,1, No object in image
466109,0,0,0,0,0,1,0,Unusually high emission
466110,0,0,0,0,0,0,1, No clear target
466112,0,1,0,0,0,0,0,
466114,0,1,0,0,0,0,1, Image artifact
466116,0,0,1,0,1,1,0,Unusual galaxy shape - possible merger
466117,0,0,0,1,0,0,0,
466118,0,0,0,1,0,0,0,
466122,0,1,1,0,0,0,0,
466123,0,1,1,0,1,0,0,
466126,0,1,0,0,1,0,0,
466128,0,1,1,0,0,0,0,
466131,0,0,1,1,1,0,0,
466132,0,0,1,1,0,0,0,
466134,0,0,0,0,1,0,0,
466136,0,0,0,0,0,0,1, No clear target
466137,0,0,1,0,0,0,0,
466140,0,1,0,1,0,0,0,
466143,0,1,0,1,0,0,0,
466145,0,0,0,0,0,0,1, No clear target
466146,0,1,0,1,0,0,0,
466154,0,0,0,0,0,0,1, Image artifact
466155,0,0,0,0,0,0,1, No clear target
466156,0,0,0,0,0,0,1, Image artifact
466158,0,0,0,0,0,0,0,
466162,0,1,0,0,0,0,0,
466164,0,0,0,0,0,0,0,
466174,0,0,0,0,0,0,1, No clear objects in image
466175,0,1,0,0,0,0,0,
466178,0,0,0,0,1,0,0,
466179,0,0,0,0,0,0,1, No clear objects in image
466183,1,0,0,0,0,1,0,Unusually diffuse
466184,0,1,0,0,1,0,0,
466186,1,1,1,0,0,1,0, Second object in merger is unusual
466187,0,0,1,0,0,1,0, Possibly just the galaxy's tidal tail
466190,0,0,0,0,0,0,1, No clear target
466191,0,1,0,0,0,0,0,
466192,0,0,1,0,0,1,0,Appears to be a multi-galaxy merger
466194,0,0,0,0,1,0,0,
466195,0,0,0,0,0,0,1, Image artifact & no clear target
466196,0,0,0,1,1,0,0,
466198,0,1,0,1,0,0,0,
466208,0,0,1,0,0,0,0,
466210,1,0,0,0,0,0,0,
466211,0,1,1,0,0,0,0,
466212,0,0,0,1,1,0,0,
470006,0,0,1,1,0,0,0,
470008,0,1,0,0,1,0,0,
470010,1,0,1,0,0,1,0, Unusual object shape - possible merger
470011,0,0,1,0,1,0,0,
470013,0,0,1,0,0,0,0,
470014,0,0,0,0,0,1,0, Unusual emission intensity
470017,0,1,0,0,0,0,0,
470019,0,0,1,0,0,0,0,
470028,0,0,1,0,0,0,0,
470029,0,1,0,0,0,0,0,
470031,0,1,1,0,0,0,0,
470032,0,1,0,0,0,0,0,
470033,0,1,0,0,1,0,0,
470034,0,1,1,0,0,0,0,
470035,0,0,1,0,1,1,0, Possible merger
470036,1,0,0,0,1,0,0,
470038,0,1,0,0,0,0,0,
470039,0,0,0,1,0,0,0,
470041,0,1,0,0,0,0,0,
470047,0,0,0,0,0,0,0,
470049,0,1,0,0,0,0,0,
470050,0,1,0,0,1,0,0,
470056,0,0,0,0,0,0,1, No clear target
470057,0,0,0,0,0,0,1, No clear target
470065,0,0,1,0,1,0,0,
470067,0,1,0,0,1,0,0,
470070,0,1,0,0,0,0,0,
470071,0,0,0,0,0,0,1, No clear target
470072,0,0,1,0,1,0,0,
470075,0,0,1,0,1,0,0,
470076,0,0,0,0,1,0,0,
470081,0,0,1,0,1,0,0,
470085,0,1,0,0,0,0,0,
470089,0,1,0,0,0,0,0,
470091,0,0,0,0,0,0,1, No clear target
470092,0,0,0,0,1,0,0,
470093,0,0,0,0,0,1,0, Unusual emission intensity
470100,0,1,0,1,1,0,0,
470101,0,1,0,0,0,0,0,
470105,0,0,0,0,0,0,1, No clear objects in image
470108,0,1,0,0,0,0,0,
470111,0,1,0,0,0,0,0,
470112,0,0,1,0,1,0,0,
470116,0,1,0,0,1,0,0,
470117,0,1,0,0,1,0,0,
470121,0,1,1,0,0,1,0, Possible merger
470129,0,1,0,0,0,0,0,
470133,0,1,0,1,1,0,0,
470136,0,1,0,0,0,0,0,
470137,0,0,0,0,0,0,1, No clear target
470139,0,0,0,0,0,1,0, Unusual emission intensity
470142,0,1,0,0,1,0,0,
475002,0,1,0,0,0,0,0,
475003,0,1,1,0,0,0,0,
475006,0,1,0,0,0,0,0,
475009,0,1,1,0,0,0,0,
475010,0,1,0,0,1,0,0,
475012,0,0,0,0,0,0,1,Unclear target
475014,0,1,1,0,0,0,0,
475016,0,0,1,0,0,0,0,
475026,0,1,0,1,1,0,0,
475031,0,1,0,0,0,0,0,
475033,0,1,0,0,0,0,0,
475039,0,0,0,0,0,0,1, No clear target
475040,0,1,0,1,0,0,0,
475045,0,0,1,0,0,0,0,
475053,0,1,0,0,1,0,0,
475067,0,1,0,1,0,0,0,
475075,0,1,1,0,1,0,0,
475080,0,1,0,1,1,0,0,
475083,0,1,0,0,1,0,0,
475087,0,1,0,0,0,0,0,
475091,0,0,0,0,0,0,1, No clear targets
475097,0,1,0,1,0,0,0,
475101,0,0,0,0,0,0,1, No clear objects in image
475102,0,0,0,0,0,0,1, No clear target
475121,0,1,0,0,0,0,0,
